Period,J1,C1,M1,UK1,G1,US1,J2,C2,M2,UK2,G2,US2
1,0.288594594,-0.058763429,0.222755045,0.18979252,0.277823788,0.253795003,0.398912408,0.18810345,0.222888748,0.293243555,0.312875697,0.442870135
2,0.368891828,0.165914315,0.477318499,0.287989389,0.239261937,0.258118396,0.364937742,0.154942762,0.309482367,0.292305108,0.220607958,0.318437767
3,0.394981009,0.166892092,0.498035078,0.376655024,0.293566208,0.322731888,0.391728979,0.212562265,0.350788351,0.343943795,0.317971465,0.366606173
4,0.350835717,0.195890015,0.498558514,0.299798541,0.180624905,0.252555966,0.363172002,0.198675377,0.322152427,0.281723844,0.212351482,0.321090569
5,0.336228924,0.121923036,0.451628564,0.275906739,0.171493415,0.246714447,0.374970168,0.21893784,0.330994534,0.275279439,0.200822638,0.329122816
6,0.343852787,0.117256695,0.461709018,0.300730178,0.210409698,0.267614871,0.396563975,0.231073368,0.352374658,0.319619433,0.25941373,0.365350525
7,0.379540503,0.162212584,0.490654223,0.327397602,0.255495791,0.291106804,0.440130867,0.273275039,0.383756978,0.31534285,0.20744217,0.344976281
8,0.377051336,0.137012005,0.46976308,0.290029338,0.300216668,0.235125302,0.347829484,0.130439544,0.328350671,0.240883883,0.177142376,0.266265329
9,0.328001347,0.126875437,0.40979748,0.249560933,0.193852675,0.167304759,0.3014956,-0.002780974,0.19809791,0.201565576,0.062238554,0.168934442
10,0.433847426,0.230060301,0.50125741,0.270029321,0.363664384,0.153224612,0.378267354,0.144056205,0.306348047,0.229874272,0.145568909,0.17381276
11,0.391816504,0.173757692,0.441637817,0.298031205,0.385497074,0.228717037,0.362185647,0.086157694,0.252350251,0.272511213,0.220684868,0.277765037
12,0.413212232,0.192950779,0.522505195,0.291712656,0.373491616,0.194659119,0.420987944,0.197913826,0.376906585,0.296112242,0.238945678,0.260561777
13,0.350832438,0.112286113,0.426641596,0.251792716,0.320397452,0.189951239,0.399526717,0.005311739,0.123678993,0.231006055,0.266774036,0.350445895
14,0.360242633,-0.533236909,0.513233525,0.317593508,0.355394915,0.277611935,0.373395454,0.128976564,0.327629124,0.256006889,0.179194082,0.206523669
15,0.413549533,0.205395299,0.552121801,0.364798763,0.384927043,0.307002942,0.330506719,-0.06140784,0.302335455,0.23666157,0.152560456,0.207183886
16,0.412228611,0.208143032,0.508321666,0.362707461,0.394337893,0.270940425,0.355747871,-0.042079286,0.297824692,0.284851127,0.356586816,0.290433338
17,0.400151343,0.165054511,0.462127974,0.317417976,0.405156314,0.302662629,0.385012901,0.075703723,0.352604099,0.296652424,0.368108149,0.304389453
18,0.411927489,0.184653798,0.464751144,0.323563941,0.407469163,0.312799358,0.37512638,0.058071587,0.33093508,0.278449311,0.348174622,0.290977999
19,0.447964505,0.228882303,0.489139111,0.348714433,0.422062384,0.332650941,0.423827135,0.133159375,0.373820228,0.332331723,0.398151584,0.350278056
20,0.44570339,0.242007878,0.482700776,0.350891371,0.423523662,0.328985884,0.435622599,0.175350679,0.381439935,0.348706286,0.411984204,0.365531884
21,0.430647626,0.211989422,0.483180194,0.33718327,0.413830516,0.31687082,0.440100738,0.173442371,0.400982035,0.353352917,0.416615826,0.376579029
22,0.444951126,0.240142504,0.477719816,0.352396132,0.424221777,0.328287556,0.447783495,0.195435494,0.38837149,0.363638324,0.424334432,0.381925912
23,0.452247716,0.23422552,0.475347112,0.360632808,0.427076952,0.332164106,0.464761493,0.208023615,0.396855668,0.388940238,0.444418789,0.40554981
24,0.443198285,0.210550216,0.462804566,0.340633033,0.408911082,0.31345682,0.463520292,0.197996623,0.393446628,0.382461282,0.438014481,0.400076815
25,0.422747032,0.188744665,0.441707257,0.317538825,0.393337068,0.296654495,0.4532029,0.191463588,0.383694163,0.365562237,0.399933189,0.335187617
26,0.425700835,0.183147962,0.450760123,0.318882799,0.399492984,0.305544316,0.457888455,0.190285895,0.393425606,0.356434995,0.400262993,0.341259229
27,0.422008253,0.172238987,0.465314096,0.332460557,0.418908295,0.320657342,0.461508432,0.188958645,0.410128037,0.360792562,0.413293527,0.35433242
28,0.377257589,0.118462313,0.44754637,0.295875007,0.392925281,0.280978382,0.439937331,0.162289768,0.410684595,0.337223696,0.396512189,0.328497015
29,0.400293103,0.13715971,0.429861176,0.307874285,0.400173772,0.292455342,0.444034865,0.130449793,0.381480101,0.330040253,0.392543265,0.322600023
30,0.406339508,0.148613449,0.447387866,0.325431931,0.41328323,0.306464055,0.442737059,0.13360959,0.39107033,0.339429525,0.399966286,0.32702811
31,0.402438934,0.147336083,0.432575264,0.310564339,0.401596532,0.295361274,0.445195542,0.147458953,0.382964657,0.331259421,0.393474646,0.322992713
32,0.384167338,0.127291895,0.431992069,0.300892617,0.391644675,0.278291912,0.440572725,0.143200781,0.39379068,0.33589871,0.396008913,0.321295531
33,0.31206611,0.005738768,0.366418477,0.266964873,0.384414959,0.253178823,0.432798546,0.113954704,0.384500452,0.267610266,0.401814696,0.304449945
34,0.312157285,0.034256723,0.365092514,0.257387568,0.372338163,0.241423355,0.387656329,0.054947449,0.348710354,0.221809374,0.354111755,0.239059412
35,0.360849228,0.075448115,0.41912701,0.28599039,0.399748364,0.17392938,0.423983436,0.071092384,0.388058361,0.2650846,0.376637761,0.274829382
36,0.370294823,0.076906972,0.408562138,0.283277857,0.399022573,0.186299339,0.439026073,0.08371928,0.382957864,0.268927855,0.380665355,0.287251067
37,0.416393043,0.158468873,0.446346111,0.340692696,0.441477293,0.249214239,0.449553733,0.129982754,0.388926348,0.297839579,0.402248164,0.304589132
38,0.370135952,0.144802945,0.318736631,0.437749063,0.544193187,0.233693769,0.546824611,0.042721556,0.399282237,0.280256265,0.388491078,0.238950232
39,0.342744138,0.114153692,0.318465435,0.410598588,0.52343553,0.205134396,0.547263134,0.049981855,0.42239666,0.281877363,0.389680547,0.240893573
40,0.329534228,0.088289968,0.3114395,0.391574351,0.510135688,0.191514855,0.543604545,0.030952943,0.420048266,0.265756437,0.378058366,0.230935729
41,0.321548863,0.11328689,0.346066548,0.347464852,0.487686858,0.198330419,0.542462821,0.06978672,0.449678762,0.260872869,0.341895081,0.20956316
42,0.33259256,0.114181371,0.35036572,0.36275422,0.497172169,0.209501851,0.54324088,0.050413637,0.442932844,0.262839073,0.348064662,0.214254899
43,0.332222561,0.089841034,0.333273525,0.364816854,0.496908407,0.206547303,0.5440547,0.023668556,0.426482613,0.259617152,0.349462296,0.213023425
44,0.33283064,0.097616636,0.355139923,0.373030127,0.505114877,0.210259388,0.541987893,0.028098826,0.443292599,0.26471244,0.353981481,0.227476498
45,0.325526982,0.092640095,0.354540392,0.371262303,0.502623174,0.215548615,0.544081948,0.039080423,0.454010648,0.275994791,0.362820569,0.233531322
46,0.34810634,0.141710513,0.406008883,0.392521955,0.516193105,0.228751041,0.544896666,0.044435433,0.458923625,0.285899134,0.369236295,0.244177302
47,0.34384681,0.138515659,0.397827363,0.387757071,0.511770046,0.222641049,0.535490505,0.029114666,0.447477877,0.275430955,0.360355137,0.232853708
48,0.35795975,0.161718249,0.401598112,0.393343887,0.517183854,0.235179305,0.538414855,0.038220133,0.442419247,0.270723879,0.357158593,0.233392301
49,0.39344934,0.169650999,0.524263329,0.291284359,0.414835056,0.265798971,0.414006184,0.082052913,0.412699178,0.257301615,0.346649498,0.268506077
50,0.411686819,0.179737613,0.538988066,0.308338704,0.426824504,0.277604309,0.431413829,0.099763255,0.428362052,0.274392948,0.360104874,0.294007599
51,0.439778942,0.211611879,0.537350653,0.327377821,0.442054723,0.298636339,0.446274605,0.118165272,0.413233729,0.282788487,0.367764152,0.303905024
52,0.444086001,0.229537044,0.543579005,0.332935084,0.445943062,0.304068407,0.446553191,0.13339764,0.415836685,0.283704183,0.368629138,0.306295043
53,0.427528918,0.196105212,0.528474171,0.321111974,0.436029858,0.285636172,0.450495521,0.13362955,0.419655467,0.293248495,0.375889439,0.311124152
54,0.392111402,0.160519413,0.525300968,0.286363274,0.410247737,0.253425933,0.449971616,0.149755448,0.447361282,0.293054927,0.376672022,0.317374032
55,0.393572953,0.163285269,0.523049624,0.286863168,0.410014119,0.255514965,0.447372196,0.143716275,0.438431569,0.290281656,0.371927092,0.314104553
56,0.405601549,0.118178374,0.537547366,0.315758132,0.435388841,0.290603528,0.432925909,0.114426365,0.408973859,0.29638866,0.368349309,0.34287616
57,0.418813859,0.127152391,0.53727098,0.330084199,0.4453637,0.302029957,0.436475329,0.107304309,0.396926134,0.301463632,0.369945559,0.34270053
58,0.43142437,0.154713197,0.547360887,0.348296683,0.458632416,0.319124149,0.43491586,0.11143603,0.394254641,0.306573569,0.373576359,0.346334124
59,0.427993847,0.154380534,0.54878799,0.350108336,0.459229534,0.316043111,0.438098875,0.122241516,0.40228791,0.315753838,0.380581921,0.350284399
60,0.424189749,0.146970515,0.546526457,0.337270226,0.45049264,0.308089879,0.444815885,0.133076078,0.410276078,0.313358946,0.379574263,0.353999673
